year,annual_mortgage_rate
2010,4.6905833333333335
2011,4.4558333333333335
2012,3.6559166666666667
2013,3.9819166666666668
2014,4.172833333333333
2015,3.849
2016,3.6477083333333336
2017,3.991
2018,4.539041666666667
2019,3.93375
2021,2.9557083333333334
2022,5.3275
2023,6.795375
2024,6.7236666666666665
